"ENTREZ_ID","KEGG_ID"
2,"map04610"
9,"map00232, map00983, map01100"
10,"map00232, map00983, map01100"
15,"map00380, map01100"
16,"map00970"
18,"map00250, map00280, map00410, map00640, map00650, map01100"
19,"map02010, map04975"
20,"map02010, map04142"
21,"map02010"
22,"map02010"
24,"map02010"
25,"map04012, map04110, map04360, map04722, map05130, map05131, map05200, map05220, map05416"
26,"map00330, map00340, map00380"
27,"map04012, map05416"
28,"map00601, map01100"
30,"map00071, map00280, map01040, map01100, map03320, map04146"
31,"map00061, map00620, map00640, map01100, map04910"
32,"map00061, map00620, map00640, map01100, map04910, map04920"
33,"map00071, map01100, map03320"
34,"map00071, map00280, map00410, map00640, map01100, map03320"
35,"map00071, map00280, map00650, map01100"
36,"map00071, map00280, map01100"
37,"map00071, map01100"
38,"map00071, map00072, map00280, map00310, map00380, map00620, map00630, map00640, map00650, map00900, map01100"
39,"map00071, map00072, map00280, map00310, map00380, map00620, map00630, map00640, map00650, map00900, map01100, map04975"
40,"map04742"
43,"map00564"
47,"map00020, map01100"
48,"map00020, map00630, map01100"
50,"map00020, map00630, map01100"
51,"map00071, map00592, map01040, map01100, map03320, map04146"
52,"map00740, map04520"
53,"map00740, map04142"
54,"map00740, map04142, map04380, map05323"
55,"map00740"
59,"map04270"
60,"map04145, map04510, map04520, map04530, map04670, map04810, map04971, map05100, map05110, map05130, map05131, map05410, map05412, map05414, map05416"
70,"map04260, map05410, map05414"
71,"map04145, map04510, map04520, map04530, map04670, map04810, map05100, map05110, map05130, map05131, map05410, map05412, map05414, map05416"
72,"map04270"
81,"map04510, map04520, map04530, map04670, map04810, map05146, map05322, map05412"
87,"map04510, map04520, map04530, map04670, map04810, map05146, map05322, map05412"
88,"map04510, map04520, map04530, map04670, map04810, map05146, map05322, map05412"
89,"map04510, map04520, map04530, map04670, map04810, map05146, map05322, map05412"
90,"map04060, map04350"
91,"map04060"
92,"map04060, map04350"
93,"map04060, map04350"
95,"map00330, map01100"
97,"map00620"
98,"map00620"
100,"map00230, map01100, map05340"
102,"map05010, map05120"
103,"map04623"
107,"map00230, map04020, map04062, map04114, map04270, map04540, map04720, map04912, map04914, map04916, map04970, map04971, map04972, map04976, map05142, map05146, map05414"
108,"map00230, map04020, map04062, map04114, map04270, map04540, map04912, map04914, map04916, map04970, map04971, map04972, map04976, map05414"
