name,module,path,p1Path,p2Path,module_type
"M00001  Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010 map01200 map01100]",M00001 ,map00010 map01200 map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00002  Glycolysis, core module involving three-carbon compounds [PATH:map00010 map01200 map01230 map01100]",M00002 ,map00010 map01200 map01230 map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00003  Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020 map01100]",M00003 ,map00010 map00020 map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00307  Pyruvate oxidation, pyruvate => acetyl-CoA [PATH:map00010 map00020 map00620 map01200 map01100]",M00307 ,map00010 map00020 map00620 map01200 map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00009  Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020 map01200 map01100]",M00009 ,map00020 map01200 map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00010  Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate [PATH:map00020 map01200 map01210 map01230 map01100]",M00010 ,map00020 map01200 map01210 map01230 map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00011  Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate [PATH:map00020 map01200 map01100]",M00011 ,map00020 map01200 map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
M00004  Pentose phosphate pathway (Pentose phosphate cycle) [PATH:map00030 map01200 map01100 map01120],M00004 ,map00030 map01200 map01100 map01120,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00006  Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P [PATH:map00030 map01200 map01100 map01120]",M00006 ,map00030 map01200 map01100 map01120,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00007  Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map00030 map01200 map01230 map01100 map01120]",M00007 ,map00030 map01200 map01230 map01100 map01120,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00580  Pentose phosphate pathway, archaea, fructose 6P => ribose 5P [PATH:map00030 map01200 map01230 map01100 map01120]",M00580 ,map00030 map01200 map01230 map01100 map01120,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00005  PRPP biosynthesis, ribose 5P => PRPP [PATH:map00030 map00230 map01200 map01230 map01100]",M00005 ,map00030 map00230 map01200 map01230 map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00008  Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate [PATH:map00030 map01200 map01100 map01120]",M00008 ,map00030 map01200 map01100 map01120,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00308  Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P [PATH:map00030 map01200 map01100 map01120]",M00308 ,map00030 map01200 map01100 map01120,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00633  Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P [PATH:map00030 map00052 map01200 map01100]",M00633 ,map00030 map00052 map01200 map01100,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00309  Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate [PATH:map00030 map00052 map01200 map01100 map01120]",M00309 ,map00030 map00052 map01200 map01100 map01120,Central carbohydrate metabolism,Carbohydrate metabolism,pathway
M00014  Glucuronate pathway (uronate pathway) [PATH:map00040 map01100],M00014 ,map00040 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00630  D-Galacturonate degradation (fungi), D-galacturonate => glycerol [PATH:map00040 map01100]",M00630 ,map00040 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00631  D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P [PATH:map00040 map00030 map01100]",M00631 ,map00040 map00030 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00061  D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P [PATH:map00040 map00030 map01100]",M00061 ,map00040 map00030 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
M00081  Pectin degradation [PATH:map00040 map01100],M00081 ,map00040 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00632  Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P [PATH:map00052 map01100]",M00632 ,map00052 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00552  D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052 map01100]",M00552 ,map00052 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00129  Ascorbate biosynthesis, animals, glucose-1P => ascorbate [PATH:map00040 map00053 map01240 map01100]",M00129 ,map00040 map00053 map01240 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00114  Ascorbate biosynthesis, plants, fructose-6P => ascorbate [PATH:map00051 map00053 map01240 map01100 map01110]",M00114 ,map00051 map00053 map01240 map01100 map01110,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00550  Ascorbate degradation, ascorbate => D-xylulose-5P [PATH:map00053 map01100 map01120]",M00550 ,map00053 map01100 map01120,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00854  Glycogen biosynthesis, glucose-1P => glycogen/starch [PATH:map00500 map01100]",M00854 ,map00500 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00855  Glycogen degradation, glycogen => glucose-6P [PATH:map00500 map01100]",M00855 ,map00500 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00565  Trehalose biosynthesis, D-glucose 1P => trehalose [PATH:map00500 map01100 map01110]",M00565 ,map00500 map01100 map01110,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00549  Nucleotide sugar biosynthesis, glucose => UDP-glucose [PATH:map00520 map01250 map01100]",M00549 ,map00520 map01250 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
"M00554  Nucleotide sugar biosynthesis, galactose => UDP-galactose [PATH:map00520 map00052 map01250 map01100]",M00554 ,map00520 map00052 map01250 map01100,Other carbohydrate metabolism,Carbohydrate metabolism,pathway
